Acorn,Acorn_grouped,DateTime,nb_clients,Conso_moy,Date,WeatherHour,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,precipType,icon,humidity,summary,temperature_half_hour,is_holiday,hour,minute,half_hour_slot,weekday,is_weekend,month,dayofyear,weekofyear
ACORN-E,Affluent,2012-06-30 22:00:00,1342,0.208288375558867,2012-06-30,2012-06-30 22:00:00,13.37,223.0,13.61,10.22,1010.79,13.61,4.8,rain,clear-night,0.8,Clear,13.89,0,22,0,44,5,1,6,182,26
ACORN-E,Affluent,2012-06-30 22:30:00,1342,0.194950819746647,2012-06-30,2012-06-30 22:00:00,13.37,223.0,13.61,10.22,1010.79,13.61,4.8,rain,clear-night,0.8,Clear,13.89,0,22,30,45,5,1,6,182,26
ACORN-E,Affluent,2012-06-30 23:00:00,1342,0.171546945007452,2012-06-30,2012-06-30 23:00:00,13.95,226.0,13.48,10.25,1011.1,13.48,4.64,rain,partly-cloudy-night,0.81,Partly Cloudy,13.89,0,23,0,46,5,1,6,182,26
ACORN-E,Affluent,2012-06-30 23:30:00,1342,0.151595380029806,2012-06-30,2012-06-30 23:00:00,13.95,226.0,13.48,10.25,1011.1,13.48,4.64,rain,partly-cloudy-night,0.81,Partly Cloudy,13.89,0,23,30,47,5,1,6,182,26
ACORN-E,Affluent,2012-07-01 00:00:00,1342,0.140108792846498,2012-07-01,2012-07-01 00:00:00,13.24,231.0,13.44,10.25,1011.33,13.44,4.14,rain,partly-cloudy-night,0.81,Partly Cloudy,13.89,0,0,0,0,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 00:30:00,1341,0.136639820954512,2012-07-01,2012-07-01 00:00:00,13.24,231.0,13.44,10.25,1011.33,13.44,4.14,rain,partly-cloudy-night,0.81,Partly Cloudy,13.89,0,0,30,1,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 01:00:00,1341,0.123180462416107,2012-07-01,2012-07-01 01:00:00,13.37,232.0,13.25,10.2,1011.61,13.25,4.07,rain,partly-cloudy-night,0.82,Partly Cloudy,13.89,0,1,0,2,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 01:30:00,1341,0.110136465398956,2012-07-01,2012-07-01 01:00:00,13.37,232.0,13.25,10.2,1011.61,13.25,4.07,rain,partly-cloudy-night,0.82,Partly Cloudy,13.335,0,1,30,3,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 02:00:00,1341,0.101754660700969,2012-07-01,2012-07-01 02:00:00,13.08,229.0,12.28,9.62,1011.81,12.28,3.76,rain,partly-cloudy-night,0.84,Partly Cloudy,12.78,0,2,0,4,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 02:30:00,1341,0.102435495898583,2012-07-01,2012-07-01 02:00:00,13.08,229.0,12.28,9.62,1011.81,12.28,3.76,rain,partly-cloudy-night,0.84,Partly Cloudy,12.5,0,2,30,5,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 03:00:00,1341,0.0980469798657718,2012-07-01,2012-07-01 03:00:00,13.79,229.0,11.77,9.23,1011.9,11.77,3.75,rain,clear-night,0.84,Clear,12.22,0,3,0,6,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 03:30:00,1341,0.100724086428039,2012-07-01,2012-07-01 03:00:00,13.79,229.0,11.77,9.23,1011.9,11.77,3.75,rain,clear-night,0.84,Clear,11.945,0,3,30,7,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 04:00:00,1341,0.0977762863534676,2012-07-01,2012-07-01 04:00:00,13.68,223.0,11.26,9.06,1012.28,11.26,3.88,rain,clear-day,0.86,Clear,11.67,0,4,0,8,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 04:30:00,1341,0.102759135048471,2012-07-01,2012-07-01 04:00:00,13.68,223.0,11.26,9.06,1012.28,11.26,3.88,rain,clear-day,0.86,Clear,11.39,0,4,30,9,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 05:00:00,1341,0.104270693512304,2012-07-01,2012-07-01 05:00:00,13.13,229.0,11.01,8.72,1012.45,11.01,4.2,rain,clear-day,0.86,Clear,11.11,0,5,0,10,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 05:30:00,1341,0.103046979791201,2012-07-01,2012-07-01 05:00:00,13.13,229.0,11.01,8.72,1012.45,11.01,4.2,rain,clear-day,0.86,Clear,11.665,0,5,30,11,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 06:00:00,1341,0.114802386129754,2012-07-01,2012-07-01 06:00:00,13.41,232.0,12.16,8.82,1012.88,12.16,4.73,rain,partly-cloudy-day,0.8,Partly Cloudy,12.22,0,6,0,12,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 06:30:00,1341,0.12591946316182,2012-07-01,2012-07-01 06:00:00,13.41,232.0,12.16,8.82,1012.88,12.16,4.73,rain,partly-cloudy-day,0.8,Partly Cloudy,12.775,0,6,30,13,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 07:00:00,1341,0.139460850186428,2012-07-01,2012-07-01 07:00:00,13.07,234.0,13.3,8.81,1013.04,13.3,5.55,rain,partly-cloudy-day,0.74,Partly Cloudy,13.33,0,7,0,14,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 07:30:00,1341,0.157860551677852,2012-07-01,2012-07-01 07:00:00,13.07,234.0,13.3,8.81,1013.04,13.3,5.55,rain,partly-cloudy-day,0.74,Partly Cloudy,13.885,0,7,30,15,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 08:00:00,1341,0.171231916331096,2012-07-01,2012-07-01 08:00:00,13.07,240.0,14.42,8.33,1013.12,14.42,5.73,rain,partly-cloudy-day,0.67,Partly Cloudy,14.44,0,8,0,16,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 08:30:00,1341,0.18430947054437,2012-07-01,2012-07-01 08:00:00,13.07,240.0,14.42,8.33,1013.12,14.42,5.73,rain,partly-cloudy-day,0.67,Partly Cloudy,15.275,0,8,30,17,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 09:00:00,1341,0.186828486278896,2012-07-01,2012-07-01 09:00:00,13.52,242.0,15.78,7.79,1013.41,15.78,5.91,rain,partly-cloudy-day,0.59,Partly Cloudy,16.11,0,9,0,18,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 09:30:00,1341,0.192639820954512,2012-07-01,2012-07-01 09:00:00,13.52,242.0,15.78,7.79,1013.41,15.78,5.91,rain,partly-cloudy-day,0.59,Partly Cloudy,15.835,0,9,30,19,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 10:00:00,1341,0.193612229903057,2012-07-01,2012-07-01 10:00:00,13.07,242.0,15.49,7.81,1013.64,15.49,6.41,rain,partly-cloudy-day,0.6,Partly Cloudy,15.56,0,10,0,20,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 10:30:00,1341,0.188454138851603,2012-07-01,2012-07-01 10:00:00,13.07,242.0,15.49,7.81,1013.64,15.49,6.41,rain,partly-cloudy-day,0.6,Partly Cloudy,15.835,0,10,30,21,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 11:00:00,1341,0.190495898583147,2012-07-01,2012-07-01 11:00:00,13.52,243.0,16.16,8.76,1013.96,16.16,6.18,rain,partly-cloudy-day,0.62,Partly Cloudy,16.11,0,11,0,22,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 11:30:00,1341,0.191493661446682,2012-07-01,2012-07-01 11:00:00,13.52,243.0,16.16,8.76,1013.96,16.16,6.18,rain,partly-cloudy-day,0.62,Partly Cloudy,16.665,0,11,30,23,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 12:00:00,1341,0.199736017897092,2012-07-01,2012-07-01 12:00:00,13.07,242.0,16.84,8.54,1014.43,16.84,6.72,rain,partly-cloudy-day,0.58,Partly Cloudy,17.22,0,12,0,24,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 12:30:00,1341,0.201602536017897,2012-07-01,2012-07-01 12:00:00,13.07,242.0,16.84,8.54,1014.43,16.84,6.72,rain,partly-cloudy-day,0.58,Partly Cloudy,16.945,0,12,30,25,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 13:00:00,1341,0.198112602609993,2012-07-01,2012-07-01 13:00:00,13.07,242.0,16.46,9.43,1014.86,16.46,6.38,rain,partly-cloudy-day,0.63,Partly Cloudy,16.67,0,13,0,26,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 13:30:00,1341,0.190105145488441,2012-07-01,2012-07-01 13:00:00,13.07,242.0,16.46,9.43,1014.86,16.46,6.38,rain,partly-cloudy-day,0.63,Partly Cloudy,17.225,0,13,30,27,6,1,7,183,26
ACORN-E,Affluent,2012-07-01 14:00:00,1341,0.181544369873229,2012-07-01,2012-07-01 14:00:00,13.07,242.0,17.12,10.11,1015.2,17.12,6.42,rain,partly-cloudy-day,0.63,Partly Cloudy,17.78,0,14,0,28,6,1,7,183,26
