Date,temperatureMax,temperatureMin,temperatureHigh,temperatureLow,temperatureMean,temperatureRange,apparentTemperatureMax,apparentTemperatureMin,humidity,windSpeed,cloudCover,pressure,visibility,uvIndex,moonPhase,icon,precipType
2011-11-01,15.57,9.68,15.57,8.88,12.625,5.890000000000001,15.57,9.01,0.84,2.45,0.36,1009.46,12.68,1.0,0.21,partly-cloudy-day,rain
2011-11-02,15.19,8.88,15.06,13.99,12.035,6.309999999999999,15.19,7.33,0.87,4.39,0.39,1004.79,11.83,1.0,0.24,partly-cloudy-night,rain
2011-11-03,17.41,12.79,17.41,12.52,15.1,4.620000000000001,17.41,12.79,0.89,3.99,0.52,993.4,12.15,1.0,0.27,partly-cloudy-day,rain
2011-11-04,15.54,11.53,15.54,10.17,13.535,4.01,15.54,11.53,0.91,2.62,0.5,995.54,10.69,1.0,0.31,fog,rain
2011-11-05,13.94,10.17,13.94,9.46,12.055,3.7699999999999996,13.94,10.17,0.92,2.7,0.65,1007.39,4.6,1.0,0.34,fog,rain
2011-11-06,11.85,9.46,11.85,10.17,10.655000000000001,2.389999999999999,11.85,7.03,0.81,4.77,0.77,1021.96,11.76,1.0,0.37,partly-cloudy-day,rain
2011-11-07,12.78,10.17,12.78,9.67,11.475,2.6099999999999994,12.78,10.17,0.89,3.9,0.82,1020.81,5.89,1.0,0.4,fog,rain
2011-11-08,11.31,9.37,10.57,9.73,10.34,1.9400000000000013,11.31,7.85,0.92,2.4,0.83,1014.61,4.31,1.0,0.43,fog,rain
2011-11-09,15.0,10.1,15.0,10.26,12.55,4.9,15.0,10.1,0.9,2.74,0.57,1015.59,9.85,1.0,0.46,partly-cloudy-day,rain
2011-11-10,13.71,10.26,13.71,8.85,11.985,3.450000000000001,13.71,10.26,0.92,2.66,0.34,1017.41,6.41,1.0,0.49,fog,rain
2011-11-11,11.96,8.85,10.87,10.87,10.405000000000001,3.110000000000001,11.96,6.48,0.95,3.88,0.79,1016.08,3.3,1.0,0.52,fog,rain
2011-11-12,15.26,11.56,15.26,10.76,13.41,3.6999999999999993,15.26,11.56,0.93,2.5,0.78,1024.77,4.83,1.0,0.55,fog,rain
2011-11-13,15.32,10.23,15.32,8.16,12.775,5.09,15.32,10.23,0.9,3.81,0.56,1027.73,5.15,1.0,0.58,fog,rain
