Acorn,Date,Conso_kWh_predict,nb_clients,temperatureMax,temperatureMin,temperatureHigh,temperatureLow,temperatureMean,temperatureRange,apparentTemperatureMax,apparentTemperatureMin,humidity,windSpeed,cloudCover,pressure,visibility,uvIndex,moonPhase,icon,precipType,is_holiday,weekday,is_weekend,month,dayofyear,weekofyear
ACORN-E,2014-01-13,12.353999679242534,1401.95833333333,9.72,5.42,9.01,2.05,7.57,4.300000000000001,6.98,2.68,0.83,4.0,0.37,1005.09,12.44,1.0,0.42,partly-cloudy-day,rain,0,0,0,1,13,3
ACORN-E,2014-01-14,12.177099651505422,1401.95833333333,6.82,2.05,6.82,5.11,4.4350000000000005,4.7700000000000005,4.15,-1.16,0.81,2.5,0.29,1004.33,13.08,1.0,0.45,partly-cloudy-day,rain,0,1,0,1,14,3
ACORN-E,2014-01-15,12.008985762416872,1401.95833333333,11.19,6.41,11.19,7.94,8.8,4.779999999999999,11.19,2.89,0.9,4.63,0.77,998.57,9.85,1.0,0.48,partly-cloudy-day,rain,0,2,0,1,15,3
ACORN-E,2014-01-16,11.833143756734058,1401.95833333333,10.72,7.27,10.17,6.43,8.995000000000001,3.450000000000001,10.72,3.91,0.83,5.01,0.58,990.5,11.72,1.0,0.52,partly-cloudy-day,rain,0,3,0,1,16,3
ACORN-E,2014-01-17,12.04812127261918,1401.95833333333,8.47,6.43,8.47,6.59,7.45,2.040000000000001,5.71,2.83,0.87,4.68,0.47,990.8,11.7,1.0,0.54,partly-cloudy-day,rain,0,4,0,1,17,3
ACORN-E,2014-01-18,11.914501873933313,1401.95833333333,9.99,7.58,9.99,7.47,8.785,2.41,7.53,4.83,0.83,4.34,0.35,991.61,11.81,1.0,0.57,partly-cloudy-day,rain,0,5,1,1,18,3
ACORN-E,2014-01-19,12.573502932155357,1401.95833333333,9.37,3.34,8.04,1.3,6.3549999999999995,6.029999999999999,7.39,2.11,0.8,1.72,0.33,995.52,12.54,1.0,0.6,partly-cloudy-day,rain,0,6,1,1,19,3
ACORN-E,2014-01-20,11.75458518865644,1401.95833333333,8.44,1.3,8.44,1.97,4.87,7.14,8.44,1.3,0.89,0.2,0.17,1007.71,9.64,1.0,0.63,fog,rain,0,0,0,1,20,4
ACORN-E,2014-01-21,11.751679379030795,1401.95833333333,7.66,1.97,7.66,5.76,4.815,5.69,6.26,1.97,0.89,2.19,0.37,1010.13,6.36,1.0,0.66,fog,rain,0,1,0,1,21,4
ACORN-E,2014-01-22,11.609069764425062,1401.95833333333,10.02,6.12,10.02,3.35,8.07,3.8999999999999995,10.02,3.08,0.87,2.13,0.69,1006.71,10.2,1.0,0.7,partly-cloudy-day,rain,0,2,0,1,22,4
ACORN-E,2014-01-23,11.307096578942437,1401.95833333333,8.44,3.35,8.44,2.76,5.895,5.09,4.93,0.25,0.82,3.98,0.32,1012.39,11.49,1.0,0.73,partly-cloudy-day,rain,0,3,0,1,23,4
ACORN-E,2014-01-24,11.307806647759636,1401.95833333333,8.01,2.76,8.01,6.98,5.385,5.25,5.72,0.19,0.83,2.43,0.54,1013.91,11.99,1.0,0.76,partly-cloudy-day,rain,0,4,0,1,24,4
ACORN-E,2014-01-25,11.420206982216122,1401.95833333333,11.77,5.68,11.77,4.25,8.725,6.09,11.77,1.76,0.83,4.0,0.44,1012.46,8.71,1.0,0.8,wind,rain,0,5,1,1,25,4
ACORN-E,2014-01-26,11.934046262351986,1401.95833333333,9.03,3.26,9.03,2.56,6.145,5.77,5.99,-1.3,0.79,4.55,0.4,1002.1,11.97,1.0,0.84,partly-cloudy-day,rain,0,6,1,1,26,4
ACORN-E,2014-01-27,12.04408036098253,1401.95833333333,7.95,2.56,7.95,4.81,5.255,5.390000000000001,4.34,-2.02,0.79,5.29,0.38,989.87,12.68,1.0,0.87,partly-cloudy-day,rain,0,0,0,1,27,5
ACORN-E,2014-01-28,11.90984817367596,1401.95833333333,9.12,5.03,9.12,4.76,7.074999999999999,4.089999999999999,6.34,1.96,0.83,4.32,0.61,985.33,11.94,1.0,0.91,partly-cloudy-day,rain,0,1,0,1,28,5
ACORN-E,2014-01-29,12.32328922771182,1401.95833333333,5.46,3.72,4.79,3.66,4.59,1.7399999999999998,2.53,0.18,0.9,4.25,0.93,993.99,9.53,1.0,0.95,cloudy,rain,0,2,0,1,29,5
ACORN-E,2014-01-30,12.357042191457255,1401.95833333333,5.94,3.0,5.94,1.97,4.470000000000001,2.9400000000000004,5.86,0.61,0.91,1.52,0.81,1001.76,6.63,1.0,0.98,partly-cloudy-day,rain,0,3,0,1,30,5
ACORN-E,2014-01-31,12.457198627257176,1401.95833333333,8.83,1.97,7.08,4.83,5.4,6.86,5.27,0.29,0.91,4.74,0.73,998.51,7.08,1.0,0.03,wind,rain,0,4,0,1,31,5
ACORN-E,2014-02-01,12.510322025210227,1401.95833333333,9.72,4.83,8.32,6.24,7.275,4.890000000000001,6.86,1.1,0.76,6.97,0.19,990.08,11.6,1.0,0.06,wind,rain,0,5,1,2,32,5
ACORN-E,2014-02-02,12.576141202484306,1401.95833333333,9.3,5.79,9.3,4.97,7.545,3.5100000000000007,6.48,3.21,0.72,4.75,0.22,1005.39,12.89,1.0,0.1,partly-cloudy-day,rain,0,6,1,2,33,5
ACORN-E,2014-02-03,11.838304984955013,1401.95833333333,7.99,4.97,7.99,4.22,6.48,3.0200000000000005,4.59,1.96,0.79,4.92,0.47,1003.89,12.5,1.0,0.13,partly-cloudy-day,rain,0,0,0,2,34,6
ACORN-E,2014-02-04,11.673257923499698,1401.95833333333,8.88,4.22,8.88,5.54,6.550000000000001,4.660000000000001,5.63,1.12,0.75,5.3,0.42,996.87,12.05,1.0,0.17,wind,rain,0,1,0,2,35,6
ACORN-E,2014-02-05,11.952283980530872,1401.95833333333,9.64,5.54,9.64,7.01,7.59,4.1000000000000005,5.86,1.03,0.77,7.86,0.73,982.2,10.91,1.0,0.2,wind,rain,0,2,0,2,36,6
ACORN-E,2014-02-06,11.863552055933884,1401.95833333333,9.81,5.86,9.77,4.13,7.835000000000001,3.95,7.34,1.96,0.82,4.98,0.67,989.9,10.53,1.0,0.24,partly-cloudy-day,rain,0,3,0,2,37,6
ACORN-E,2014-02-07,12.182021386647676,1401.95833333333,9.81,4.13,8.97,7.03,6.970000000000001,5.680000000000001,8.44,-0.86,0.79,3.98,0.63,988.77,10.85,1.0,0.27,wind,rain,0,4,0,2,38,6
ACORN-E,2014-02-08,12.330419380995307,1401.95833333333,9.13,6.81,9.01,6.69,7.970000000000001,2.320000000000001,5.67,2.19,0.77,8.53,0.47,979.25,11.2,1.0,0.3,wind,rain,0,5,1,2,39,6
ACORN-E,2014-02-09,12.8743146783982,1401.95833333333,8.18,4.78,8.18,4.23,6.48,3.3999999999999995,3.91,1.38,0.66,8.05,0.52,984.71,12.71,1.0,0.33,wind,rain,0,6,1,2,40,6
ACORN-E,2014-02-10,12.0908218595087,1401.95833333333,8.78,4.08,8.78,2.77,6.43,4.699999999999999,7.07,0.89,0.84,1.66,0.55,992.84,11.81,1.0,0.36,partly-cloudy-day,rain,0,0,0,2,41,7
ACORN-E,2014-02-11,11.887413904976013,1401.95833333333,7.51,2.77,7.51,3.03,5.14,4.74,4.06,-0.57,0.76,4.62,0.41,996.66,12.39,1.0,0.39,wind,rain,0,1,0,2,42,7
ACORN-E,2014-02-12,12.160528881743822,1401.95833333333,8.83,3.03,8.83,4.14,5.93,5.800000000000001,4.73,-1.2,0.75,7.24,0.59,994.27,11.8,1.0,0.42,wind,rain,0,2,0,2,43,7
ACORN-E,2014-02-13,12.14234857799602,1401.95833333333,7.37,4.09,7.37,3.47,5.73,3.2800000000000002,3.42,0.05,0.68,5.83,0.36,992.43,13.04,1.0,0.45,partly-cloudy-day,rain,0,3,0,2,44,7
ACORN-F,2014-01-13,11.069017709735252,632.583333333333,9.72,5.42,9.01,2.05,7.57,4.300000000000001,6.98,2.68,0.83,4.0,0.37,1005.09,12.44,1.0,0.42,partly-cloudy-day,rain,0,0,0,1,13,3
ACORN-F,2014-01-14,10.76440976752243,632.583333333333,6.82,2.05,6.82,5.11,4.4350000000000005,4.7700000000000005,4.15,-1.16,0.81,2.5,0.29,1004.33,13.08,1.0,0.45,partly-cloudy-day,rain,0,1,0,1,14,3
ACORN-F,2014-01-15,10.693148863974942,632.583333333333,11.19,6.41,11.19,7.94,8.8,4.779999999999999,11.19,2.89,0.9,4.63,0.77,998.57,9.85,1.0,0.48,partly-cloudy-day,rain,0,2,0,1,15,3
ACORN-F,2014-01-16,10.636173509915954,632.583333333333,10.72,7.27,10.17,6.43,8.995000000000001,3.450000000000001,10.72,3.91,0.83,5.01,0.58,990.5,11.72,1.0,0.52,partly-cloudy-day,rain,0,3,0,1,16,3
ACORN-F,2014-01-17,10.814197407513388,632.583333333333,8.47,6.43,8.47,6.59,7.45,2.040000000000001,5.71,2.83,0.87,4.68,0.47,990.8,11.7,1.0,0.54,partly-cloudy-day,rain,0,4,0,1,17,3
ACORN-F,2014-01-18,10.804170441790736,632.583333333333,9.99,7.58,9.99,7.47,8.785,2.41,7.53,4.83,0.83,4.34,0.35,991.61,11.81,1.0,0.57,partly-cloudy-day,rain,0,5,1,1,18,3
ACORN-F,2014-01-19,11.067219582826947,632.583333333333,9.37,3.34,8.04,1.3,6.3549999999999995,6.029999999999999,7.39,2.11,0.8,1.72,0.33,995.52,12.54,1.0,0.6,partly-cloudy-day,rain,0,6,1,1,19,3
ACORN-F,2014-01-20,10.3378148072499,632.583333333333,8.44,1.3,8.44,1.97,4.87,7.14,8.44,1.3,0.89,0.2,0.17,1007.71,9.64,1.0,0.63,fog,rain,0,0,0,1,20,4
ACORN-F,2014-01-21,10.320659301773476,632.583333333333,7.66,1.97,7.66,5.76,4.815,5.69,6.26,1.97,0.89,2.19,0.37,1010.13,6.36,1.0,0.66,fog,rain,0,1,0,1,21,4
ACORN-F,2014-01-22,10.114137694835271,632.583333333333,10.02,6.12,10.02,3.35,8.07,3.8999999999999995,10.02,3.08,0.87,2.13,0.69,1006.71,10.2,1.0,0.7,partly-cloudy-day,rain,0,2,0,1,22,4
ACORN-F,2014-01-23,10.230276142632672,632.583333333333,8.44,3.35,8.44,2.76,5.895,5.09,4.93,0.25,0.82,3.98,0.32,1012.39,11.49,1.0,0.73,partly-cloudy-day,rain,0,3,0,1,23,4
ACORN-F,2014-01-24,10.2655850004413,632.583333333333,8.01,2.76,8.01,6.98,5.385,5.25,5.72,0.19,0.83,2.43,0.54,1013.91,11.99,1.0,0.76,partly-cloudy-day,rain,0,4,0,1,24,4
ACORN-F,2014-01-25,10.379433528295383,632.583333333333,11.77,5.68,11.77,4.25,8.725,6.09,11.77,1.76,0.83,4.0,0.44,1012.46,8.71,1.0,0.8,wind,rain,0,5,1,1,25,4
ACORN-F,2014-01-26,11.104074746644171,632.583333333333,9.03,3.26,9.03,2.56,6.145,5.77,5.99,-1.3,0.79,4.55,0.4,1002.1,11.97,1.0,0.84,partly-cloudy-day,rain,0,6,1,1,26,4
ACORN-F,2014-01-27,10.613731529853364,632.583333333333,7.95,2.56,7.95,4.81,5.255,5.390000000000001,4.34,-2.02,0.79,5.29,0.38,989.87,12.68,1.0,0.87,partly-cloudy-day,rain,0,0,0,1,27,5
ACORN-F,2014-01-28,10.758597158311552,632.583333333333,9.12,5.03,9.12,4.76,7.074999999999999,4.089999999999999,6.34,1.96,0.83,4.32,0.61,985.33,11.94,1.0,0.91,partly-cloudy-day,rain,0,1,0,1,28,5
ACORN-F,2014-01-29,11.103668979778751,632.583333333333,5.46,3.72,4.79,3.66,4.59,1.7399999999999998,2.53,0.18,0.9,4.25,0.93,993.99,9.53,1.0,0.95,cloudy,rain,0,2,0,1,29,5
ACORN-F,2014-01-30,10.73477483130022,632.583333333333,5.94,3.0,5.94,1.97,4.470000000000001,2.9400000000000004,5.86,0.61,0.91,1.52,0.81,1001.76,6.63,1.0,0.98,partly-cloudy-day,rain,0,3,0,1,30,5
ACORN-F,2014-01-31,10.872970840513828,632.583333333333,8.83,1.97,7.08,4.83,5.4,6.86,5.27,0.29,0.91,4.74,0.73,998.51,7.08,1.0,0.03,wind,rain,0,4,0,1,31,5
ACORN-F,2014-02-01,11.259641350688264,632.583333333333,9.72,4.83,8.32,6.24,7.275,4.890000000000001,6.86,1.1,0.76,6.97,0.19,990.08,11.6,1.0,0.06,wind,rain,0,5,1,2,32,5
ACORN-F,2014-02-02,11.335809989763217,632.583333333333,9.3,5.79,9.3,4.97,7.545,3.5100000000000007,6.48,3.21,0.72,4.75,0.22,1005.39,12.89,1.0,0.1,partly-cloudy-day,rain,0,6,1,2,33,5
ACORN-F,2014-02-03,10.335718182925843,632.583333333333,7.99,4.97,7.99,4.22,6.48,3.0200000000000005,4.59,1.96,0.79,4.92,0.47,1003.89,12.5,1.0,0.13,partly-cloudy-day,rain,0,0,0,2,34,6
ACORN-F,2014-02-04,10.15513032187962,632.583333333333,8.88,4.22,8.88,5.54,6.550000000000001,4.660000000000001,5.63,1.12,0.75,5.3,0.42,996.87,12.05,1.0,0.17,wind,rain,0,1,0,2,35,6
ACORN-F,2014-02-05,10.368418211309878,632.583333333333,9.64,5.54,9.64,7.01,7.59,4.1000000000000005,5.86,1.03,0.77,7.86,0.73,982.2,10.91,1.0,0.2,wind,rain,0,2,0,2,36,6
ACORN-F,2014-02-06,10.461910989209183,632.583333333333,9.81,5.86,9.77,4.13,7.835000000000001,3.95,7.34,1.96,0.82,4.98,0.67,989.9,10.53,1.0,0.24,partly-cloudy-day,rain,0,3,0,2,37,6
ACORN-F,2014-02-07,10.532365909149105,632.583333333333,9.81,4.13,8.97,7.03,6.970000000000001,5.680000000000001,8.44,-0.86,0.79,3.98,0.63,988.77,10.85,1.0,0.27,wind,rain,0,4,0,2,38,6
