Acorn,lag_days,autocorrelation
ACORN-E,1,0.9790310531019037
ACORN-E,2,0.9603215483629663
ACORN-E,3,0.9451419940643172
ACORN-E,4,0.9328627589212822
ACORN-E,5,0.9236991890697248
ACORN-E,6,0.9191587505528985
ACORN-E,7,0.9151547627162694
ACORN-E,8,0.901465839432067
ACORN-E,9,0.888760177276557
ACORN-E,10,0.8797177374611873
ACORN-E,11,0.8736100218459905
ACORN-E,12,0.8675683918945111
ACORN-E,13,0.8643246469155518
ACORN-E,14,0.8614713302417133
ACORN-E,15,0.8473894016990995
ACORN-E,16,0.8348686437531415
ACORN-E,17,0.8251586043387753
ACORN-E,18,0.8174241400770955
ACORN-E,19,0.807746225289255
ACORN-E,20,0.8030595269704607
ACORN-E,21,0.79899899788393
ACORN-E,22,0.7852182075401769
ACORN-E,23,0.7752065387194886
ACORN-E,24,0.769608201455505
ACORN-E,25,0.7626808399982012
ACORN-E,26,0.7579340762624662
ACORN-E,27,0.7549192865244526
ACORN-E,28,0.7551195985417768
ACORN-E,29,0.7446216864836972
ACORN-E,30,0.7367374762477175
ACORN-F,1,0.9545958261715887
ACORN-F,2,0.9211734037086519
ACORN-F,3,0.9036297241347124
ACORN-F,4,0.8923788453514467
ACORN-F,5,0.8885504634045279
ACORN-F,6,0.9000401224189585
ACORN-F,7,0.9166864901450316
ACORN-F,8,0.8832032631491069
ACORN-F,9,0.8562912531031059
ACORN-F,10,0.8452997434745018
ACORN-F,11,0.8409000922862933
ACORN-F,12,0.8389146429138125
ACORN-F,13,0.8532422500953841
ACORN-F,14,0.8704285031035807
ACORN-F,15,0.8387185873439139
ACORN-F,16,0.8129648917298931
ACORN-F,17,0.8015478830688855
ACORN-F,18,0.7968045271270373
ACORN-F,19,0.7928179028544677
ACORN-F,20,0.8042448958774651
ACORN-F,21,0.8204806808792943
ACORN-F,22,0.7863704183214392
ACORN-F,23,0.7602953750557241
ACORN-F,24,0.7523652424164439
ACORN-F,25,0.7461516362024617
ACORN-F,26,0.7479970264691772
ACORN-F,27,0.7620431865571181
ACORN-F,28,0.7819327204911665
ACORN-F,29,0.7507636845565271
ACORN-F,30,0.7271356959725266
ACORN-Q,1,0.9328629566550767
ACORN-Q,2,0.8797611203624545
ACORN-Q,3,0.8672232626612583
ACORN-Q,4,0.8569425157142017
ACORN-Q,5,0.8498715463360274
ACORN-Q,6,0.8849853180666462
ACORN-Q,7,0.9187070836327695
ACORN-Q,8,0.8677500379293831
ACORN-Q,9,0.8225050357014065
ACORN-Q,10,0.8193679770288111
ACORN-Q,11,0.8153759053144924
ACORN-Q,12,0.811166684759624
ACORN-Q,13,0.8440292755710633
ACORN-Q,14,0.8779943225707989
ACORN-Q,15,0.8297030853259028
ACORN-Q,16,0.7871602236037373
ACORN-Q,17,0.78024794867453
ACORN-Q,18,0.7764778994767196
ACORN-Q,19,0.7666658032770075
ACORN-Q,20,0.7971750836312463
ACORN-Q,21,0.8302134087111107
ACORN-Q,22,0.7804826958253119
ACORN-Q,23,0.7365016891593433
ACORN-Q,24,0.7320735205301814
ACORN-Q,25,0.7245506368937449
ACORN-Q,26,0.7189211291876791
ACORN-Q,27,0.7505303913692982
ACORN-Q,28,0.7860299492298275
ACORN-Q,29,0.7379942925504525
ACORN-Q,30,0.6957496638016808
