Acorn,Date,Conso_kWh,temperatureMean,temperatureMin,temperatureMax,weekday,is_weekend,is_holiday
ACORN-E,2012-07-01,8.50171356600086,15.024999999999999,12.47,17.58,6,1,0
ACORN-E,2012-07-02,8.72765027923651,17.119999999999997,15.43,18.81,0,0,0
ACORN-E,2012-07-03,8.48988934954563,18.695,15.95,21.44,1,0,0
ACORN-E,2012-07-04,8.17353877763288,18.765,15.2,22.33,2,0,0
ACORN-E,2012-07-05,8.1592572700775,16.74,14.78,18.7,3,0,1
ACORN-E,2012-07-06,8.34319407169233,16.035,13.42,18.65,4,0,0
ACORN-E,2012-07-07,8.36175406950066,16.525,14.28,18.77,5,1,0
ACORN-E,2012-07-08,8.98856795578906,16.19,14.38,18.0,6,1,0
ACORN-E,2012-07-09,8.62759025264418,15.370000000000001,13.28,17.46,0,0,0
ACORN-E,2012-07-10,8.42082828150929,15.41,12.07,18.75,1,0,0
ACORN-E,2012-07-11,8.31229351922195,14.355,10.04,18.67,2,0,0
ACORN-E,2012-07-12,8.23480078267337,16.735,14.21,19.26,3,0,0
ACORN-E,2012-07-13,8.16999570134805,14.785,13.13,16.44,4,0,0
ACORN-E,2012-07-14,8.37154480601552,15.350000000000001,12.44,18.26,5,1,0
ACORN-E,2012-07-15,8.38424893887832,15.055,13.05,17.06,6,1,0
ACORN-E,2012-07-16,8.52240390492448,18.18,13.92,22.44,0,0,0
ACORN-E,2012-07-17,8.06810189135483,16.715,14.91,18.52,1,0,0
ACORN-E,2012-07-18,8.24442489808782,16.975,13.77,20.18,2,0,0
ACORN-E,2012-07-19,8.0712780460735,15.445,13.12,17.77,3,0,0
ACORN-E,2012-07-20,8.09502295271336,15.86,11.83,19.89,4,0,0
ACORN-E,2012-07-21,7.97360211467229,17.55,12.24,22.86,5,1,0
ACORN-E,2012-07-22,8.07427463758213,19.825,12.47,27.18,6,1,0
ACORN-E,2012-07-23,7.80939622971406,21.265,14.21,28.32,0,0,0
ACORN-E,2012-07-24,7.73662661686905,22.555,15.74,29.37,1,0,0
ACORN-E,2012-07-25,7.88533699590507,21.185000000000002,15.93,26.44,2,0,0
ACORN-E,2012-07-26,7.7541863372174,19.86,15.93,23.79,3,0,0
ACORN-E,2012-07-27,7.99279630868773,18.009999999999998,14.93,21.09,4,0,0
ACORN-E,2012-07-28,7.82572019141558,14.445,10.97,17.92,5,1,0
ACORN-E,2012-07-29,8.26708415601578,14.775,9.86,19.69,6,1,0
ACORN-E,2012-07-30,7.84197417662368,15.855,11.52,20.19,0,0,0
ACORN-E,2012-07-31,7.99475320955583,18.13,13.69,22.57,1,0,0
ACORN-E,2012-08-01,7.8848090891369,18.45,15.61,21.29,2,0,0
ACORN-E,2012-08-02,7.69172213329506,17.43,13.09,21.77,3,0,0
ACORN-E,2012-08-03,7.795282179157,17.7,14.36,21.04,4,0,0
ACORN-E,2012-08-04,7.94268837389163,16.835,12.98,20.69,5,1,0
ACORN-E,2012-08-05,8.37991468243255,17.86,14.77,20.95,6,1,0
ACORN-E,2012-08-06,8.00973388305635,15.405000000000001,11.49,19.32,0,0,0
ACORN-E,2012-08-07,8.00964217991407,18.915,15.03,22.8,1,0,0
ACORN-E,2012-08-08,7.75897328452718,19.625,13.33,25.92,2,0,0
ACORN-E,2012-08-09,7.6371585716167,19.744999999999997,14.5,24.99,3,0,0
ACORN-E,2012-08-10,7.68725346354972,19.060000000000002,15.21,22.91,4,0,0
ACORN-E,2012-08-11,7.73363596649591,20.58,16.03,25.13,5,1,0
ACORN-E,2012-08-12,8.0929491666132,18.97,15.26,22.68,6,1,0
ACORN-E,2012-08-13,7.83135366092229,20.795,17.62,23.97,0,0,0
ACORN-E,2012-08-14,7.64852163368753,19.975,17.38,22.57,1,0,0
ACORN-E,2012-08-15,7.86948073338728,18.845,16.02,21.67,2,0,0
ACORN-E,2012-08-16,7.67701375506604,22.575000000000003,17.92,27.23,3,0,0
ACORN-E,2012-08-17,7.41106305577526,25.2,20.54,29.86,4,0,0
