Acorn,Acorn_grouped,half_hour_slot,hour,minute,mean_conso_moy
ACORN-E,Affluent,0,0,0,0.192461951772482
ACORN-E,Affluent,1,0,30,0.1808169340510759
ACORN-E,Affluent,2,1,0,0.16285769083193113
ACORN-E,Affluent,3,1,30,0.14826817281170326
ACORN-E,Affluent,4,2,0,0.13766360730813895
ACORN-E,Affluent,5,2,30,0.13133898525413087
ACORN-E,Affluent,6,3,0,0.12637302807569076
ACORN-E,Affluent,7,3,30,0.12207848987498685
ACORN-E,Affluent,8,4,0,0.12096182125259386
ACORN-E,Affluent,9,4,30,0.12392329157427182
ACORN-E,Affluent,10,5,0,0.1269872679351933
ACORN-E,Affluent,11,5,30,0.1366339757072354
ACORN-E,Affluent,12,6,0,0.15188737250332485
ACORN-E,Affluent,13,6,30,0.17306677382028843
ACORN-E,Affluent,14,7,0,0.18526748984324798
ACORN-E,Affluent,15,7,30,0.20202649165447836
ACORN-E,Affluent,16,8,0,0.21225821519881427
ACORN-E,Affluent,17,8,30,0.21859976081530746
ACORN-E,Affluent,18,9,0,0.2184939514770768
ACORN-E,Affluent,19,9,30,0.2187709323034467
ACORN-E,Affluent,20,10,0,0.2162601697394548
ACORN-E,Affluent,21,10,30,0.21465400623944514
ACORN-E,Affluent,22,11,0,0.21480887828416034
ACORN-E,Affluent,23,11,30,0.21384140981530542
ACORN-E,Affluent,24,12,0,0.2140630175417887
ACORN-E,Affluent,25,12,30,0.2152326101192298
ACORN-E,Affluent,26,13,0,0.2133497840354663
ACORN-E,Affluent,27,13,30,0.21128587616814928
ACORN-E,Affluent,28,14,0,0.20882565730262123
ACORN-E,Affluent,29,14,30,0.20801681069130562
ACORN-E,Affluent,30,15,0,0.20875614434238793
ACORN-E,Affluent,31,15,30,0.21556473364339904
ACORN-E,Affluent,32,16,0,0.22444719487775489
ACORN-E,Affluent,33,16,30,0.2400084830429613
ACORN-E,Affluent,34,17,0,0.2581407545970645
ACORN-E,Affluent,35,17,30,0.28007311705218824
ACORN-E,Affluent,36,18,0,0.2966898661024231
ACORN-E,Affluent,37,18,30,0.313213502371356
ACORN-E,Affluent,38,19,0,0.32130648019123936
ACORN-E,Affluent,39,19,30,0.3241774135104093
ACORN-E,Affluent,40,20,0,0.3198546512472525
ACORN-E,Affluent,41,20,30,0.3130672201434916
ACORN-E,Affluent,42,21,0,0.3022577126487056
ACORN-E,Affluent,43,21,30,0.28968890297445
ACORN-E,Affluent,44,22,0,0.2686225370253011
ACORN-E,Affluent,45,22,30,0.24419008899711594
ACORN-E,Affluent,46,23,0,0.21684399889880007
ACORN-E,Affluent,47,23,30,0.18919956992117148
ACORN-F,Comfortable,0,0,0,0.15637318436289666
ACORN-F,Comfortable,1,0,30,0.139797427813655
ACORN-F,Comfortable,2,1,0,0.12812351363568256
ACORN-F,Comfortable,3,1,30,0.11887408393726019
ACORN-F,Comfortable,4,2,0,0.11134584956704287
ACORN-F,Comfortable,5,2,30,0.1053720400381038
ACORN-F,Comfortable,6,3,0,0.10136893355131453
ACORN-F,Comfortable,7,3,30,0.0997308904756315
ACORN-F,Comfortable,8,4,0,0.09910259162916836
ACORN-F,Comfortable,9,4,30,0.10154380506101797
ACORN-F,Comfortable,10,5,0,0.10628947460813432
ACORN-F,Comfortable,11,5,30,0.11695958737883069
ACORN-F,Comfortable,12,6,0,0.13110381805183727
ACORN-F,Comfortable,13,6,30,0.14989581147304812
ACORN-F,Comfortable,14,7,0,0.1684131965579922
ACORN-F,Comfortable,15,7,30,0.18313752334715616
ACORN-F,Comfortable,16,8,0,0.1937595693213993
ACORN-F,Comfortable,17,8,30,0.19777741364952958
ACORN-F,Comfortable,18,9,0,0.19746977525903686
ACORN-F,Comfortable,19,9,30,0.19746121677681375
ACORN-F,Comfortable,20,10,0,0.1957907951896759
ACORN-F,Comfortable,21,10,30,0.19552366583500966
ACORN-F,Comfortable,22,11,0,0.19576912058425544
ACORN-F,Comfortable,23,11,30,0.1968069746978773
ACORN-F,Comfortable,24,12,0,0.1980684913296324
ACORN-F,Comfortable,25,12,30,0.1980105699891019
ACORN-F,Comfortable,26,13,0,0.19792695074536784
ACORN-F,Comfortable,27,13,30,0.19656492619231672
ACORN-F,Comfortable,28,14,0,0.1948799849795181
ACORN-F,Comfortable,29,14,30,0.19616204184955005
ACORN-F,Comfortable,30,15,0,0.19865614146744678
ACORN-F,Comfortable,31,15,30,0.20466935153477067
ACORN-F,Comfortable,32,16,0,0.2156977472518933
ACORN-F,Comfortable,33,16,30,0.23086362968453916
ACORN-F,Comfortable,34,17,0,0.24713742167192937
ACORN-F,Comfortable,35,17,30,0.26351747457958136
ACORN-F,Comfortable,36,18,0,0.273360597129332
ACORN-F,Comfortable,37,18,30,0.2820516454639917
ACORN-F,Comfortable,38,19,0,0.2855666815648392
ACORN-F,Comfortable,39,19,30,0.2871457063082127
ACORN-F,Comfortable,40,20,0,0.2844786987599961
ACORN-F,Comfortable,41,20,30,0.28122057425284264
ACORN-F,Comfortable,42,21,0,0.2732983791923834
ACORN-F,Comfortable,43,21,30,0.2621916277874874
ACORN-F,Comfortable,44,22,0,0.24476643677227036
ACORN-F,Comfortable,45,22,30,0.2238229268003656
ACORN-F,Comfortable,46,23,0,0.2010179390356546
ACORN-F,Comfortable,47,23,30,0.17753570542278724
ACORN-Q,Adversity,0,0,0,0.13984086172106697
ACORN-Q,Adversity,1,0,30,0.12969164426074212
ACORN-Q,Adversity,2,1,0,0.11680609765051964
ACORN-Q,Adversity,3,1,30,0.10642983071490666
ACORN-Q,Adversity,4,2,0,0.09873486712627413
ACORN-Q,Adversity,5,2,30,0.0943212836609606
ACORN-Q,Adversity,6,3,0,0.08929281495986086
ACORN-Q,Adversity,7,3,30,0.08662747206981293
ACORN-Q,Adversity,8,4,0,0.0860760494011119
ACORN-Q,Adversity,9,4,30,0.08728635364497586
ACORN-Q,Adversity,10,5,0,0.08973227179204503
ACORN-Q,Adversity,11,5,30,0.09549014161553082
ACORN-Q,Adversity,12,6,0,0.10364062017481211
ACORN-Q,Adversity,13,6,30,0.11563069837435966
ACORN-Q,Adversity,14,7,0,0.12742946497711388
ACORN-Q,Adversity,15,7,30,0.139143888071622
ACORN-Q,Adversity,16,8,0,0.14508468728134322
ACORN-Q,Adversity,17,8,30,0.15201902820800434
ACORN-Q,Adversity,18,9,0,0.1531287110329256
ACORN-Q,Adversity,19,9,30,0.15563633005343666
ACORN-Q,Adversity,20,10,0,0.15735882881726856
ACORN-Q,Adversity,21,10,30,0.15997204696807293
ACORN-Q,Adversity,22,11,0,0.16208107173644368
ACORN-Q,Adversity,23,11,30,0.1644192272968019
ACORN-Q,Adversity,24,12,0,0.16616496995158092
ACORN-Q,Adversity,25,12,30,0.16617302831292463
ACORN-Q,Adversity,26,13,0,0.16532375499655785
ACORN-Q,Adversity,27,13,30,0.16369193130655682
ACORN-Q,Adversity,28,14,0,0.16265129874191772
ACORN-Q,Adversity,29,14,30,0.16321537259011762
ACORN-Q,Adversity,30,15,0,0.1663407639105156
ACORN-Q,Adversity,31,15,30,0.17116449878799472
ACORN-Q,Adversity,32,16,0,0.1801042620402176
ACORN-Q,Adversity,33,16,30,0.1923928377681318
ACORN-Q,Adversity,34,17,0,0.20292273973971356
ACORN-Q,Adversity,35,17,30,0.21468111062290532
ACORN-Q,Adversity,36,18,0,0.2224311475548016
ACORN-Q,Adversity,37,18,30,0.22835561421426107
ACORN-Q,Adversity,38,19,0,0.22908115351515573
ACORN-Q,Adversity,39,19,30,0.22804777741189325
ACORN-Q,Adversity,40,20,0,0.22403725794216384
ACORN-Q,Adversity,41,20,30,0.21879950964672734
ACORN-Q,Adversity,42,21,0,0.2116638610717132
ACORN-Q,Adversity,43,21,30,0.20369165010857795
ACORN-Q,Adversity,44,22,0,0.19075759222535216
ACORN-Q,Adversity,45,22,30,0.17771337106011376
ACORN-Q,Adversity,46,23,0,0.16223426402236835
ACORN-Q,Adversity,47,23,30,0.14701307212174056
