Acorn,weekday,mean_conso_kwh
ACORN-E,0,10.263224756829173
ACORN-E,1,10.166907973821106
ACORN-E,2,10.16117039375609
ACORN-E,3,10.119794555653614
ACORN-E,4,10.119161954108533
ACORN-E,5,10.242157685726378
ACORN-E,6,10.655126807516002
ACORN-F,0,9.117038103456453
ACORN-F,1,9.021013041815701
ACORN-F,2,9.01558935411086
ACORN-F,3,9.048362780132368
ACORN-F,4,9.079740592401155
ACORN-F,5,9.36139789185448
ACORN-F,6,9.795645441456609
ACORN-Q,0,7.456503797259214
ACORN-Q,1,7.383262165771034
ACORN-Q,2,7.398231609539819
ACORN-Q,3,7.356953107177063
ACORN-Q,4,7.350752445464908
ACORN-Q,5,7.669342334901005
ACORN-Q,6,7.981742027935411
